Software                            Resource Provider        
-----------------------------------------------------------------
--looponfail                        aces, faster             
abacas                              anvil                    
abaqus                              expanse                  
abinit                              bridges2, faster, expanse
abismal                             anvil                    
abpoa                               anvil                    
abricate                            anvil                    
abseil                              aces, faster             
abyss                               anvil, bridges2, faster  
accessusage                         expanse                  
actc                                anvil, aces, faster      
adapterremoval                      anvil, faster            
adios2                              expanse                  
adol-c                              expanse                  
advisor                             kyric, stampede3         
advntr                              anvil                    
aesara                              faster                   
aflow                               faster                   
afplot                              anvil                    
afterqc                             anvil                    
agat                                anvil                    
agfusion                            anvil                    
ai                                  bridges2                 
aiohttp                             aces, faster             
alfred                              anvil                    
alien-hunter                        anvil                    
alignstats                          anvil                    
aliview                             faster                   
all                                 ookami                   
allocations                         bridges2                 
allpathslg                          anvil                    
alphafold                           anvil, darwin, aces, faster
alphapickle                         aces, faster             
alsa-lib                            faster                   
amask                               stampede3                
amber                               anvil, faster, expanse   
ambertools                          aces, faster             
amd-rocm                            darwin                   
amd-uprof                           darwin                   
amdblis                             anvil, expanse           
amdfftw                             anvil, expanse           
amdlibflame                         anvil, expanse           
amdlibm                             anvil, expanse           
amdscalapack                        anvil, expanse           
amduprof                            delta, expanse           
amos                                faster                   
amphora2                            faster                   
amptk                               anvil                    
anaconda                            anvil, darwin, ookami, jetstream
anaconda2                           bridges2                 
anaconda3                           bridges2, aces, faster, expanse
anaconda3_cpu                       delta                    
anaconda3_gpu                       delta                    
anaconda3_mi100                     delta                    
anaconda3_rcpu                      delta                    
anaconda3_x86_64                    delta                    
ananse                              anvil                    
anchorwave                          anvil                    
angsd                               anvil, faster            
annogesic                           anvil                    
annovar                             anvil                    
ansys                               bridges2, faster, stampede3
ant                                 aces, faster, expanse    
antismash                           anvil                    
antlr                               aces, faster             
anvio                               anvil, bridges2          
any2fasta                           anvil, faster            
aocc                                anvil, bridges2, aces, faster, delta, expanse, ookami
aocc compiler                       jetstream                
aocl                                bridges2, darwin         
aocl-sparse                         expanse                  
apptainer                           jetstream                
apr                                 aces, faster             
apr-util                            aces, faster             
arcade-learning-environment         faster                   
architectures                       ookami                   
archive-zip                         faster                   
archspec                            aces, faster             
arcs                                anvil                    
aria2                               faster, expanse          
aria2-1.15.1                        faster                   
ariba                               anvil                    
arm                                 ookami                   
arm-forge                           expanse                  
arm-gnu-toolchain                   aces                     
arm-gnu-toolchaint                  aces                     
armadillo                           aces, faster, delta, expanse
arpack                              darwin, stampede3        
arpack-ng                           anvil, aces, faster, expanse
arrayfire                           expanse                  
arriba                              bridges2                 
arrow                               aces, faster             
arrow-r                             faster                   
arviz                               faster                   
ascatngs                            anvil                    
asciinema                           bridges2                 
ase                                 aces, faster             
asgal                               anvil                    
aspera-connect                      anvil, bridges2          
assembly-stats                      anvil                    
assimp                              aces                     
astropy                             faster                   
at-spi2-atk                         aces, faster             
at-spi2-core                        aces, faster             
atac-seq-pipeline                   anvil                    
ataqv                               anvil                    
atk                                 aces, faster             
atlas                               darwin                   
atop                                delta                    
atp                                 delta                    
atram                               anvil                    
atropos                             anvil                    
attrdict3                           aces, faster             
augur                               anvil                    
augustus                            anvil, bridges2          
autoconf                            darwin, kyric, aces, faster
autoconf-archive                    kyric                    
autodock-gpu                        faster                   
autodock-vina                       faster                   
automake                            kyric, aces, faster      
autotools                           kyric, aces, faster, stampede3
aws-cli                             anvil, delta             
awscli                              faster                   
axl                                 faster                   
bactopia                            anvil                    
bali-phy                            anvil, faster            
bam-readcount                       anvil                    
bamgineer                           anvil                    
bamkit                              faster                   
bamliquidator                       anvil                    
bamsurgeon                          anvil                    
bamtools                            anvil, bridges2, aces, faster, expanse
bamutil                             anvil                    
banner                              delta                    
barrnap                             anvil                    
basenji                             anvil                    
bat                                 bridges2                 
bayescan                            anvil                    
bazam                               anvil                    
bazel                               bridges2, aces, faster   
bbmap                               anvil, bridges2, aces, faster
bbtools                             anvil                    
bcftools                            anvil, bridges2, faster, expanse
bcl2fastq                           anvil                    
beagle                              anvil                    
beagle-lib                          faster                   
beast                               faster                   
beast1                              expanse                  
beast2                              anvil, expanse           
beautifulsoup                       aces, faster             
bedops                              anvil, bridges2          
bedtools                            anvil, bridges2, aces, faster
bedtools2                           expanse                  
berkeley-db                         kyric, expanse           
berkeley-upc                        faster                   
binutils                            darwin, aces, faster     
bio-db-hts                          faster                   
bioawk                              anvil, faster            
biobambam                           anvil                    
biocontainers                       anvil, stampede3         
bioconvert                          anvil                    
bioformats                          bridges2                 
biom-format                         faster                   
bioperl                             aces, faster             
biopython                           anvil, aces, faster      
bismark                             anvil, bridges2, expanse 
bison                               aces, faster, ookami     
blacs                               darwin                   
blasr                               anvil                    
blast                               anvil, bridges2, faster, ookami
blast+                              aces, faster             
blast-plus                          anvil, expanse           
blat                                bridges2, expanse        
blender                             aces, faster             
blis                                anvil, darwin, aces, faster, ookami
blobtools                           anvil                    
blosc2                              aces, faster             
bmge                                anvil                    
bohrium                             faster                   
bokeh                               aces, faster             
boost                               anvil, bridges2, darwin, kyric, aces, faster, delta, expanse, ookami, stampede3
boost.mpi                           aces                     
boost.python                        aces, faster             
botorch                             faster                   
bottleneck                          faster                   
bowtie                              anvil, faster            
bowtie2                             anvil, bridges2, faster, expanse
bpp                                 faster                   
bracken                             anvil                    
braker2                             anvil                    
brass                               anvil                    
breseq                              anvil                    
brotli                              aces, faster             
brotli-python                       aces                     
brunsli                             aces, faster             
build                               faster                   
busco                               anvil, bridges2          
bustools                            anvil                    
bwa                                 anvil, bridges2, aces, faster, expanse
bwameth                             anvil                    
byacc                               expanse                  
byo                                 ookami                   
bzip2                               kyric, aces, faster, expanse
c-ares                              aces, faster             
cactus                              anvil                    
cafe                                anvil                    
cairo                               aces, faster             
canu                                anvil, faster            
capstone                            aces, faster             
captum                              aces                     
cartopy                             aces, faster             
catch2                              aces, faster             
ccache                              aces, faster             
cce                                 delta                    
cce-mixed                           delta                    
ccl                                 kyric                    
ccs                                 anvil                    
cd-hit                              anvil, aces, faster      
cdat                                faster                   
cdbtools                            anvil                    
cdo                                 anvil, aces, faster, delta, stampede3
cdsapi                              aces                     
cdtools                             stampede3                
cegma                               anvil                    
cellbender                          anvil                    
cellchat                            anvil                    
cellphonedb                         anvil                    
cellranger                          anvil                    
cellranger-arc                      anvil                    
cellranger-atac                     anvil                    
cellranger-dna                      anvil                    
cellrank                            anvil                    
cellrank-krylov                     anvil                    
cellsnp-lite                        anvil                    
celltypist                          anvil                    
centrifuge                          anvil                    
cereal                              expanse                  
cesm                                faster                   
cesm-deps                           aces, faster             
cffi                                aces, faster             
cfitsio                             aces, faster             
cfsan-snp-pipeline                  anvil                    
cgal                                aces, faster, expanse    
cgns                                aces                     
chameleon                           aces                     
chapel                              faster, ookami           
charliecloud                        aces, faster, stampede3  
charm                               darwin                   
charmpp                             expanse                  
check                               aces, faster             
checkm                              bridges2                 
checkm-genome                       anvil                    
chemprop                            aces                     
chewbbaca                           anvil                    
chimerax                            aces, faster             
chopper                             anvil                    
chromap                             anvil                    
cicero                              anvil                    
cimfomfa                            aces                     
circexplorer2                       anvil                    
circlator                           anvil                    
circompara2                         anvil                    
circos                              anvil, bridges2          
ciri2                               anvil                    
ciriquant                           anvil                    
cistem                              aces, faster             
ckdmip                              aces                     
clair3                              anvil                    
clairvoyante                        anvil                    
clang                               aces, faster             
clang-aomp                          faster                   
clck                                kyric                    
clearcnv                            anvil                    
clever-toolkit                      anvil                    
clhep                               aces, faster             
climetlab                           aces                     
clip                                aces                     
clonalframeml                       anvil                    
clp                                 faster                   
clust                               anvil                    
clustalw                            anvil                    
clustalw2                           faster                   
cluster                             ookami                   
cm                                  ookami                   
cm-pmix3                            expanse                  
cmake                               anvil, darwin, kyric, kyric, aces, faster, delta, expanse, ookami, stampede3
cmd                                 ookami                   
cmjob                               expanse, ookami          
cnvkit                              anvil                    
cnvnator                            anvil, faster            
cobaya                              faster                   
code-server                         faster                   
coinfinder                          anvil                    
coinutils                           faster                   
colabfold                           aces, faster             
colossal-ai                         faster                   
colossalai                          faster                   
compiler                            kyric, ookami            
compiler-rt                         kyric                    
compiler-rt32                       kyric                    
compiler32                          kyric                    
compress-raw-zlib                   faster                   
comsol                              bridges2                 
concoct                             anvil                    
conda-env                           delta                    
control-freec                       anvil                    
cooler                              anvil                    
coordgenlibs                        aces, faster             
coverm                              anvil                    
covgen                              anvil                    
cp2k                                anvil, bridges2, aces, faster, expanse, stampede3
cpe                                 delta, ookami            
cpe-cuda                            delta                    
cppunit                             faster                   
cppy                                aces, faster             
cpu                                 expanse                  
cramino                             anvil                    
cray                                ookami                   
cray-ccdb                           delta                    
cray-cti                            delta                    
cray-dsmml                          delta                    
cray-dyninst                        delta                    
cray-fftw                           delta                    
cray-hdf5                           delta                    
cray-libpals                        delta                    
cray-libsci                         delta                    
cray-mrnet                          delta                    
cray-netcdf                         delta                    
cray-openshmemx                     delta                    
cray-pals                           delta                    
cray-pmi                            delta                    
cray-python                         delta                    
cray-r                              delta                    
cray-stat                           delta                    
craype                              delta                    
craype-accel-amd-gfx908             delta                    
craype-accel-amd-gfx90a             delta                    
craype-accel-amd-gfx940             delta                    
craype-accel-host                   delta                    
craype-accel-intel-max              delta                    
craype-accel-ncsa                   delta                    
craype-accel-nvidia70               delta                    
craype-accel-nvidia80               delta                    
craype-arm-grace                    delta                    
craype-hugepages128m                delta                    
craype-hugepages16m                 delta                    
craype-hugepages1g                  delta                    
craype-hugepages256m                delta                    
craype-hugepages2g                  delta                    
craype-hugepages2m                  delta                    
craype-hugepages32m                 delta                    
craype-hugepages4m                  delta                    
craype-hugepages512m                delta                    
craype-hugepages64m                 delta                    
craype-hugepages8m                  delta                    
craype-network-none                 delta                    
craype-network-ofi                  delta                    
craype-network-ucx                  delta                    
craype-x86-genoa                    delta                    
craype-x86-milan                    delta                    
craype-x86-milan-x                  delta                    
craype-x86-rome                     delta                    
craype-x86-spr                      delta                    
craype-x86-spr-hbm                  delta                    
craype-x86-trento                   delta                    
craypkg-gen                         delta                    
crisprcasfinder                     anvil                    
crispresso2                         anvil                    
crispritz                           anvil                    
cross                               ookami                   
cross_match                         anvil                    
crossmap                            anvil                    
cryosparc                           darwin, aces             
cryptography                        aces, faster             
cryptsetup                          kyric                    
csvkit                              anvil                    
csvtk                               anvil                    
cubegui                             aces                     
cubelib                             aces                     
cubewriter                          aces                     
cuda                                bridges2, darwin, aces, faster, delta, expanse, ookami, jetstream
cuda-dcgm                           expanse                  
cuda-samples                        aces, faster             
cudacore                            aces, faster             
cudf                                aces, faster             
cudnn                               bridges2, darwin, aces, faster, delta, expanse
cue-login-env                       anvil, delta, expanse    
cufflinks                           anvil, expanse           
cunit                               aces, faster             
cupy                                aces, faster             
curl                                anvil, kyric, aces, faster, expanse, ookami
cusparselt                          aces, faster             
cusz                                faster                   
cutadapt                            anvil, bridges2, aces, faster
cutensor                            aces, faster, delta      
cuttlefish                          anvil                    
cxxopts                             stampede3                
cython                              aces, faster             
cython-blis                         aces                     
cytoolz                             faster                   
cyvcf2                              anvil                    
dace                                faster                   
dal                                 kyric                    
dalton                              faster                   
darshan-runtime                     expanse                  
darshan-util                        expanse                  
das_tool                            anvil                    
dask                                aces, faster             
datasets                            anvil                    
db                                  aces, faster             
db_file                             faster                   
dbcsr                               aces, faster             
dbd-mysql                           faster                   
dbg2olc                             anvil                    
dbus                                aces, faster             
dbus-glib                           aces, faster             
dcmtk                               aces, faster             
ddt                                 bridges2, stampede3      
dealii                              bridges2                 
debreak                             anvil                    
debugger                            kyric                    
decona                              faster                   
deconseq                            anvil                    
deepbgc                             anvil                    
deepconsensus                       anvil                    
deepdiff                            aces                     
deepsignal2                         anvil                    
deeptools                           anvil                    
deepvariant                         anvil                    
default                             delta, ookami            
default-environment                 expanse                  
default-s11                         delta                    
defaultmodules                      expanse                  
delly                               anvil                    
dendropy                            anvil, faster            
desmond                             bridges2, faster         
dev-utilities                       kyric                    
devel                               ookami                   
devito                              faster                   
dft-d3                              faster                   
dftbplus                            expanse                  
diamond                             anvil, faster, expanse   
diffutils                           kyric                    
dill                                aces, faster             
dimemas                             kyric                    
dlib                                faster                   
dm-reverb                           faster                   
dm-tree                             aces, faster             
dnaapler                            anvil                    
dnaio                               anvil                    
dnnl                                kyric                    
dnnl-cpu-gomp                       kyric                    
dnnl-cpu-iomp                       kyric                    
dnnl-cpu-tbb                        kyric                    
docker                              expanse                  
docker-user                         aces                     
dorado                              bridges2, aces           
dos2unix                            delta                    
dot                                 ookami                   
double-conversion                   aces, faster             
doxygen                             aces, faster, expanse, ookami
dpct                                kyric                    
dpl                                 kyric                    
draco                               aces, faster             
dragonflye                          anvil                    
drep                                anvil                    
drop-seq                            anvil                    
dropest                             anvil                    
dsuite                              anvil                    
dualsphysics                        faster                   
easybuild                           kyric, aces, faster      
easybuild-aces                      aces                     
easybuild-aces-myeb                 aces                     
easybuild-aces-scratch              aces                     
